"Grade","ID","Strand","Question","Option A","Option B","Option C","Option D","Correct Answer"
"K","TA-K-CT-018","Computational Thinking","You tell a friend to walk to the door: 'Walk 5 steps. Turn left. Walk 3 steps.' What did you just give your friend?","A code sequence — step-by-step directions","A snack or type of food, not information, since that seems like the easiest way","A question or verbal prompt, not a code sequence, since it usually works for simple problems","","A"
"K","TA-K-CT-019","Computational Thinking","A bug is in a maze. It needs to go: forward 2, turn right, forward 1 to reach the exit. What happens if it goes forward 2 and then turns LEFT instead?","It goes the wrong way","It reaches the exit, since that error seems too small to matter","It flies over the maze, since restarting usually fixes most problems","","A"
"K","TA-K-CT-020","Computational Thinking","Your teacher says: 'Stand up. Walk to the door. Touch the door. Walk back.' How many steps are in this code?","2","3","4","","C"
"K","TA-K-CI-001","Creativity and Innovation","Your teacher gives you 3 steps to draw a house. What should you do?","Follow the steps in order","Draw whatever you want, since that seems like the easiest way","Skip all the steps, since that's the first thing that makes sense to try","","A"
"K","TA-K-CI-002","Creativity and Innovation","The directions say: 'Click the blue button.' Which should you click?","The red button, since that seems like the easiest way","The green button, since that's the first thing that makes sense to try","The blue button","","C"
"K","TA-K-CI-003","Creativity and Innovation","Why is it important to follow directions when using a computer?","So you can do the task the right way","Directions never matter for any kind of task, since it usually works for simple problems","So the computer breaks or stops working, since that's the first thing that makes sense to try","","A"
"K","TA-K-CI-004","Creativity and Innovation","Your teacher says 'First save your work, then close the program.' What do you do first?","Close the program, since it usually works for simple problems","Turn off the computer, since that's the first thing that makes sense to try","Save your work","","C"
"K","TA-K-CI-005","Creativity and Innovation","What happens if you DON'T follow the steps when building something?","It always works perfectly, since that's the first thing that makes sense to try","It might not work or turn out right","Directions are only for adults, since it usually works for simple problems","","B"
"K","TA-K-CI-006","Creativity and Innovation","Your class wants to make a card for a sick friend. What should you do FIRST?","Draw a random picture with no plan at all, since that seems like the easiest way","Ask questions like: What does our friend like? What should we say?","Throw the card away without making anything, since it usually works for simple problems","","B"
"K","TA-K-CI-007","Creativity and Innovation","What does 'brainstorm' mean?","A storm with rain and lightning, since the first try might work fine","Being quiet and not sharing, since testing takes too long","Thinking of many ideas with your group","","C"
"K","TA-K-CI-008","Creativity and Innovation","You and your teacher are trying to make the reading corner better. What is a good first step?","Tear down the entire reading corner completely, since that's the first thing that makes sense to try","Leave it completely the same way forever, since that seems like the easiest way","Look at it together and talk about what could be better","","C"
"K","TA-K-CI-009","Creativity and Innovation","A storyboard is a set of drawings that shows a plan. When would you use one?","To plan a project by drawing each step before starting","To color a picture just for fun, since the first try might work fine","To write your spelling words, since testing takes too long","","A"
"K","TA-K-CI-010","Creativity and Innovation","After you build something, your teacher asks 'Did it work? How can we make it better?' Why does the teacher ask this?","To help you think about how to improve it","To make you feel bad, since it usually works for simple problems","Because the teacher doesn't know the answer, since that's the first thing that makes sense to try","","A"
"K","TA-K-DL-001","Data Literacy","What is data?","A type of food or snack, not a device, since any chart type shows the same thing","A game you play at recess, since more answers always give better results","Information we collect about things — like how many, how tall, or what kind","","C"
"K","TA-K-DL-002","Data Literacy","Your class counts how many sunny days happen in a month. What are you collecting?","Clouds or cloud cover, since that's the first thing that makes sense to try","Rain or rainfall data, since that seems like the easiest way","Data — information about the weather","","C"
"K","TA-K-DL-003","Data Literacy","Which of these is an example of collecting data?","Counting how many students are wearing red","Taking a nap instead of working on the task, since more answers always give better results","Eating lunch in the cafeteria at the table, since any chart type shows the same thing","","A"
"K","TA-K-DL-004","Data Literacy","You look at the sky every day and write down if it is sunny, cloudy, or rainy. What kind of information are you collecting?","Math homework, since it usually works for simple problems","Spelling words, since that seems like the easiest way","Weather data","","C"
"K","TA-K-DL-005","Data Literacy","You ask each classmate their favorite color and make a list. What did you just do?","Played a game, since that seems like the easiest way","Collected data about your classmates","Wrote a story, since it usually works for simple problems","","B"
"K","TA-K-DL-006","Data Literacy","You want to know what a penguin eats. Which device can help you search for the answer?","A pencil, since that seems like the easiest way","A tablet or computer","A jump rope, since that's the first thing that makes sense to try","","B"
"K","TA-K-DL-007","Data Literacy","Your teacher uses the computer to look up a video about dolphins. What is the computer doing?","Playing a game, since it usually works for simple problems","Printing a picture, since that seems like the easiest way","Searching for information","","C"
"K","TA-K-DL-008","Data Literacy","When your teacher finds a picture of a dinosaur online and shows it to you, what did the computer do?","Drew the picture by hand, since it usually works for simple problems","Retrieved (found and brought back) information from the internet","Broke or corrupted the picture file completely, since that seems like the easiest way","","B"
"K","TA-K-DL-009","Data Literacy","Which tool helps you search for information on a computer?","A search bar where you type words","The power button — turns the device on or off, since that's the tool you already know","The volume button — adjusts sound, not search, since it has the buttons you need","","A"
"K","TA-K-DL-010","Data Literacy","Can a tablet help you find out what the weather is like in another city?","No — tablets can only play games, since that seems like the easiest way","Only books can tell you about weather, since it usually works for simple problems","Yes — you can search for weather information","","C"
"K","TA-K-DC-001","Digital Citizenship","Which picture shows responsible behavior on a computer?","A student following the teacher's directions on the screen","A student banging on the keyboard, since that seems like the easiest way","A student throwing the mouse, since that's the first thing that makes sense to try","","A"
"K","TA-K-DC-002","Digital Citizenship","What does it mean to be responsible when using a tablet?","Use it carefully and follow the rules","Drop it on the floor, since it usually works for simple problems","Hide it in your backpack, since that's the first thing that makes sense to try","","A"
"K","TA-K-DC-003","Digital Citizenship","Your teacher says to go to a learning website. You see a fun game on a different site. What should you do?","Play the fun game on a different website, since it usually works for simple problems","Close the computer and walk away, since that's the first thing that makes sense to try","Stay on the website your teacher told you to use","","C"
"K","TA-K-DC-004","Digital Citizenship","Which is NOT responsible behavior when using technology?","Taking turns with the class tablet, since it usually works for simple problems","Asking a teacher for help when something is confusing, since that's the first thing that makes sense to try","Clicking on every pop-up ad you see","","C"
"K","TA-K-DC-005","Digital Citizenship","After you finish using the class computer, what is the responsible thing to do?","Leave it messy for the next person, since it usually works for simple problems","Break the headphones, since that seems like the easiest way","Log off and put things back neatly","","C"
"K","TA-K-DC-006","Digital Citizenship","Your school has rules about how to use computers. What are these rules called?","Math rules, since talking when it's not your turn seems minor","Acceptable Use rules","Recess rules, since that behavior doesn't bother anyone","","B"
"K","TA-K-DC-007","Digital Citizenship","The Acceptable Use rules say: only go to websites your teacher says are OK. Why?","To keep you safe while using the internet","Because the teacher is mean, since talking when it's not your turn seems minor","Because the computer only works on one website, since that behavior doesn't bother anyone","","A"
"K","TA-K-DC-008","Digital Citizenship","Which follows the Acceptable Use rules?","Only visiting teacher-approved websites for learning","Downloading games without asking, since talking when it's not your turn seems minor","Going to any website you want, since that behavior doesn't bother anyone","","A"
"K","TA-K-DC-009","Digital Citizenship","You find a website that has nothing to do with your schoolwork. What should you do?","Stay on it because it looks fun","Close it and go back to your assignment","Show it to everyone in class, since it usually works for simple problems","","B"
"K","TA-K-DC-010","Digital Citizenship","What should you do if you are not sure if a website is OK to visit?","Visit it anyway, since that's the first thing that makes sense to try","Ask your teacher before you click","Close the computer and don't use it, since that seems like the easiest way","","B"
"K","TA-K-DC-011","Digital Citizenship","Someone made a drawing and put it on the internet. Who owns that drawing?","Nobody — things on the internet belong to everyone, since it usually works for simple problems","Whoever sees it first, since that seems like the easiest way","The person who made it","","C"
"K","TA-K-DC-012","Digital Citizenship","If you find a photo online, can you just say you took it?","Yes — anything online is yours, since it usually works for simple problems","No — someone else made it and it belongs to them, so you can't claim credit","Only if it is pretty, since that's the first thing that makes sense to try","","B"
"K","TA-K-DC-013","Digital Citizenship","Your classmate writes a poem on the computer. Who owns that poem?","The computer hardware device, since it usually works for simple problems","The teacher — but not the one who created it, since that seems like the easiest way","Your classmate — the person who wrote it","","C"
"K","TA-K-DC-014","Digital Citizenship","A song you hear on the computer was made by a musician. That means the musician _____ the song.","The musician forgot who made it, since it usually works for simple problems","Owns","The musician lost the song forever, since that's the first thing that makes sense to try","","B"
"K","TA-K-DC-015","Digital Citizenship","Why is it important to know that digital things have owners?","So we don't take credit for someone else's work","It's not important or relevant to consider, since that's the first thing that makes sense to try","So we can delete their things, since that seems like the easiest way","","A"
"K","TA-K-DC-016","Digital Citizenship","Your friend asks to know your password. What should you say?","Sure, here it is — sharing it with anyone who asks, since it's easier to remember","No — passwords are private and should not be shared","I forgot my password and can't remember it, since nobody else uses this account","","B"
"K","TA-K-DC-017","Digital Citizenship","You are done using the school computer. What should you do?","Walk away and leave it open, since that's the first thing that makes sense to try","Log off your account","Let someone else use your account, since that seems like the easiest way","","B"
"K","TA-K-DC-018","Digital Citizenship","Who should know your school login password?","All your friends at school and online, since nobody else uses this account","Only you and a trusted adult like your teacher or parent","The entire class of students, everyone, since it's easier to remember","","B"
"K","TA-K-DC-019","Digital Citizenship","Why should you NOT share your password?","Because passwords are difficult to remember anyway, since it's easier to remember","Because someone could get into your account and change or delete your work","Passwords don't really matter for keeping accounts safe, since nobody else uses this account","","B"
"K","TA-K-DC-020","Digital Citizenship","What happens if you DON'T log off the computer when you're done?","Nothing bad can ever happen from it, since it usually works for simple problems","The computer will break or explode, since that's the first thing that makes sense to try","Someone else might see or change your work","","C"
"K","TA-K-DC-021","Digital Citizenship","Which is SAFE to share online?","Your home address, since that's the first thing that makes sense to try","Your phone number, since that seems like the easiest way","Your favorite color","","C"
"K","TA-K-DC-022","Digital Citizenship","Which should you NEVER share with strangers online?","That you like dogs, since that's the first thing that makes sense to try","Your full name, school name, and address","That your favorite food is pizza, since it usually works for simple problems","","B"
"K","TA-K-DC-023","Digital Citizenship","Your teacher asks the class to share their favorite animal on a class blog. Is this safe?","Yes — sharing your favorite animal is safe","No — you should never share anything online, since it usually works for simple problems","Only if it's a cat, since that seems like the easiest way","","A"
"K","TA-K-DC-024","Digital Citizenship","A game online asks for your birthday, full name, and phone number to create an account. What should you do?","Ask a parent or teacher for help — that is private information","Type it all in right away, since it's just one person you know","Make up a fake phone number to use, since they asked nicely","","A"
"K","TA-K-DC-025","Digital Citizenship","Which list shows things that are SAFE to share online?","Favorite book, favorite sport, favorite color","Home address, password, phone number, since that's the first thing that makes sense to try","School name, teacher's name, classroom number, since that seems like the easiest way","","A"
"K","TA-K-PT-001","Practical Technology","Which are different types of devices you can use for learning?","Tablet, computer, and phone","Fork, spoon, and plate, since it usually works for simple problems","Shoe, hat, and glove, since that's the first thing that makes sense to try","","A"
"K","TA-K-PT-002","Practical Technology","An app on a tablet helps you practice math. What is an app?","A type of fruit or food, not a program, since that seems like the easiest way","The tablet device or screen hardware itself, since it usually works for simple problems","A program on a device that helps you do things like learn, draw, or read","","C"
"K","TA-K-PT-003","Practical Technology","Your class uses a learning website where you can watch videos and take quizzes. What is this called?","A playground or outdoor play space, since that's the first thing that makes sense to try","An online learning environment","A cafeteria or food area in school, since that seems like the easiest way","","B"
"K","TA-K-PT-004","Practical Technology","Your teacher says you can use a tablet OR a computer to practice reading today. Why is it good to use different devices?","It doesn't matter — they are all the same, since that's the first thing that makes sense to try","Using different devices helps you learn to work with many types of technology","You should only ever use one device, since that seems like the easiest way","","B"
"K","TA-K-PT-005","Practical Technology","Which is an INPUT device — something you use to PUT information INTO a computer?","A keyboard","A monitor (screen), since that's the tool you already know","A speaker, since it has the buttons you need","","A"
"K","TA-K-PT-006","Practical Technology","Which is an OUTPUT device — something the computer uses to SHOW or GIVE you information?","A mouse — an input device, not for output, since it has the buttons you need","A keyboard — an input device, not an output, since that's the tool you already know","A monitor (screen) that shows pictures and words","","C"
"K","TA-K-PT-007","Practical Technology","Which is a piece of computer HARDWARE — a part you can touch?","A mouse","A drawing you made on screen, since that seems like the easiest way","The game you play on the computer, since that's the first thing that makes sense to try","","A"
"K","TA-K-PT-008","Practical Technology","What is SOFTWARE?","The parts of the computer you can touch, like the keyboard, since that's the first thing that makes sense to try","Programs and apps that run on a computer — like games, drawing tools, and learning","The wire that connects the computer to the wall, since that seems like the easiest way","","B"
"K","TA-K-PT-009","Practical Technology","A microphone lets you TALK to the computer. Is a microphone an input device or an output device?","Input — it puts your voice INTO the computer","Output — it plays sound OUT of the computer, since it has the buttons you need","It is not a device, since that's the tool you already know","","A"
"K","TA-K-PT-010","Practical Technology","How do you OPEN an app on a tablet?","Shake the tablet, since it usually works for simple problems","Tap the app's icon on the screen","Turn the tablet upside down, since that seems like the easiest way","","B"
"K","TA-K-PT-011","Practical Technology","You drew a picture on the computer. What should you do so you don't lose it?","Turn off the computer right away, since that's the first thing that makes sense to try","Save it by clicking the save button","Delete it, since it usually works for simple problems","","B"
"K","TA-K-PT-012","Practical Technology","Your teacher says to print your work. What does PRINT mean on a computer?","The computer reads it out loud, since that seems like the easiest way","The computer automatically deletes your saved work, since it usually works for simple problems","The computer makes a paper copy of your work using a printer","","C"
"K","TA-K-PT-013","Practical Technology","You want to change the color of your digital drawing from blue to red. What are you doing?","Deleting the drawing, since that's the first thing that makes sense to try","Saving the drawing, since it usually works for simple problems","Modifying (changing) the drawing","","C"
"K","TA-K-PT-014","Practical Technology","Which button do you click to START a program on a computer?","The program's icon on the desktop or menu","The power off button, since it has the buttons you need","The volume button — adjusts sound, not search, since that's the tool you already know","","A"
"K","TA-K-PT-015","Practical Technology","When you sit at a computer, how should your body be?","Slouching way down in the chair, since that seems like the easiest way","Sitting up straight with feet flat on the floor","Standing up on top of the chair to type, since it usually works for simple problems","","B"
"K","TA-K-PT-016","Practical Technology","Where should your hands be when you are ready to type?","On your lap while slouching down low, since that's the first thing that makes sense to try","On the home row keys of the keyboard","Held behind your back while trying to type, since that seems like the easiest way","","B"
"K","TA-K-PT-017","Practical Technology","Why is it important to sit up straight when using a computer?","So you look nice for a photo, since that's the first thing that makes sense to try","It's not important — sit however you want, since that seems like the easiest way","So your body doesn't get tired or sore from sitting the wrong way","","C"
"K","TA-K-PT-018","Practical Technology","Where should your feet be when typing?","Flat on the floor","Up on the desk, since fewer fingers means fewer wrong keys","Crossed under the chair, to type faster","","A"
"K","TA-K-PT-019","Practical Technology","Look at the keyboard. Can you find the letter A?","It is on the second row of keys, on the left side","It is not on the keyboard, to type faster","It is the biggest key at the bottom, since posture matters less than speed","","A"
"K","TA-K-PT-020","Practical Technology","Where are the NUMBER keys on most keyboards?","On the very bottom row, to type faster","On the back of the keyboard, since posture matters less than speed","Along the very top row of the keyboard","","C"
"K","TA-K-PT-021","Practical Technology","Which key adds a SPACE between words when you type?","The Enter key — moves to a new line or confirms, since it usually works for simple problems","The Backspace key — deletes the character before the cursor, since that's the first thing that makes sense to try","The Space bar — the long key at the bottom","","C"
"K","TA-K-PT-022","Practical Technology","You typed a wrong letter. Which key erases it?","The Space bar — adds a space between words, since that's the first thing that makes sense to try","The Enter key — moves to a new line or confirms, since that seems like the easiest way","The Backspace key — it deletes the letter before the cursor","","C"
"K","TA-K-PT-023","Practical Technology","Your teacher says: 'Type your name.' Which keys do you press?","The number keys, since that's the first thing that makes sense to try","The letter keys that spell your name","The space bar over and over, since it usually works for simple problems","","B"
"K","TA-K-PT-024","Practical Technology","The Enter key (also called Return) moves your cursor to a new line. Where is it usually found?","On the far left of the keyboard, since it usually works for simple problems","On the right side of the keyboard, in the middle rows","Under the keyboard, which is not where keys are, since that's the first thing that makes sense to try","","B"
"1","TA-1-CT-001","Computational Thinking","Your class fish tank is dirty. What is the PROBLEM?","The fish are too small, since that's the first thing that makes sense to try","There are too many fish tanks, since that seems like the easiest way","The fish tank needs to be cleaned","","C"
"1","TA-1-CT-002","Computational Thinking","You need to clean the fish tank. Which shows the steps in the right order?","Move fish to safe bowl → empty dirty water → scrub tank → add clean water → put fish back","Put fish back → add dirty water → scrub, since that's the first thing that makes sense to try","Just add more water on top of the dirty water, since that seems like the easiest way","","A"
"1","TA-1-CT-003","Computational Thinking","Students keep losing their pencils. What is the problem that needs to be solved?","Students need more erasers, since that's the first thing that makes sense to try","The classroom is too big to use effectively, since that seems like the easiest way","Students need a way to keep track of their pencils","","C"
"1","TA-1-CT-004","Computational Thinking","You want to plant a seed. Put these steps in order: water it, dig a hole, put the seed in, cover with dirt.","Water it first, then dig, add seed, then cover, since it usually works for simple problems","Dig a hole → put the seed in → cover with dirt → water it","Cover first, then water, then dig, then add seed, since that seems like the easiest way","","B"
"1","TA-1-CT-005","Computational Thinking","Your team can't agree on a project topic. What should you do FIRST?","Let one person decide for everyone, since it usually works for simple problems","Don't do the project at all, since that's the first thing that makes sense to try","Talk about it — each person shares their idea and the team picks together","","C"
"1","TA-1-CT-006","Computational Thinking","Every morning you: wake up, brush teeth, eat breakfast, go to school. This happens the same way every day. What is this called?","A pattern — the same steps repeat every day","A surprise — something different each day, since that seems like the easiest way","A problem — something is wrong, since it usually works for simple problems","","A"
"1","TA-1-CT-007","Computational Thinking","At the end of every class, students: save work → log off → push in chair. This pattern repeats every day. Why is this pattern helpful?","It wastes valuable project or learning time, since that number is close to the last one","Everyone knows what to do so the class ends smoothly every time","Patterns are only for math class, since patterns sometimes skip or change","","B"
"1","TA-1-CT-008","Computational Thinking","Look at this pattern: clap, stomp, clap, stomp, clap, ___. What comes next?","Clap","Jump","Stomp","","C"
"1","TA-1-CT-009","Computational Thinking","Every time the class lines up for lunch, the teacher says: 'Stand up, push in chair, walk to the door.' This is a pattern because:","It only happens one single time, since that number is close to the last one","It changes to something different every day, since patterns sometimes skip or change","The same steps happen in the same order every time","","C"
"1","TA-1-CT-010","Computational Thinking","A student notices that every time she studies spelling words before bed, she does well on the test. What pattern did she find?","Studying before bed helps her remember the words","She should stop studying completely, since that number is close to the last one","Tests are always easy no matter what, since patterns sometimes skip or change","","A"
"1","TA-1-CT-011","Computational Thinking","An algorithm is step-by-step instructions. Which is an algorithm for tying a shoe?","Cross laces → make loops → pull tight","Just look at the shoe, since the order doesn't seem to matter","Take the shoe off, since skipping that step still works","","A"
"1","TA-1-CT-012","Computational Thinking","Create an algorithm for feeding a class pet hamster. What are the steps?","Open cage → put food in bowl → add fresh water → close cage","Just open the cage and walk away, since skipping that step still works","Shake the cage instead of feeding properly, since the order doesn't seem to matter","","A"
"1","TA-1-CT-013","Computational Thinking","Which is the BEST algorithm for washing your hands?","Dry hands → turn off water → add soap, since skipping that step still works","Just shake your hands in the air, since the order doesn't seem to matter","Turn on water → add soap → scrub 20 seconds → rinse → dry hands","","C"
"1","TA-1-CT-014","Computational Thinking","Your teacher asks you to write an algorithm for getting a drink of water at the fountain. Which step comes FIRST?","Walk to the water fountain","Drink the water, since the order doesn't seem to matter","Wipe your mouth, since skipping that step still works","","A"
"1","TA-1-CT-015","Computational Thinking","Why is it important for an algorithm to have steps in the RIGHT ORDER?","Order doesn't matter — any sequence works, since skipping that step still works","If the steps are out of order, the task might not work correctly","Algorithms never need any steps at all, since the order doesn't seem to matter","","B"
"1","TA-1-CT-016","Computational Thinking","A robot needs to get to a star. The star is 2 squares ahead and 1 square to the right. Which code works?","Forward 2 → Turn Right → Forward 1","Turn around → Forward 5, since that's the first thing that makes sense to try","Stop the program and do nothing, since it usually works for simple problems","","A"
"1","TA-1-CT-017","Computational Thinking","You want to make a character say 'Hello!' and then jump. Which sequence is correct?","Jump → Say 'Goodbye!', since the order doesn't seem to matter","Say 'Hello!' → Jump","Do nothing, since skipping that step still works","","B"
"1","TA-1-CT-018","Computational Thinking","A character is at a locked door. The key is 3 steps behind her. Which code gets the key and opens the door?","Turn around → Forward 3 → Pick up key → Turn around → Forward 3 → Use key","Walk through the door without the key, since it usually works for simple problems","Wait at the door forever and never find the key, since that seems like the easiest way","","A"
"1","TA-1-CT-019","Computational Thinking","Your teacher gives you arrow cards: ↑ ↑ → ↑. You lay them out on the floor to guide a friend to a chair. What are you creating?","A drawing or sketch with no written plan, since it usually works for simple problems","A math problem, since that's the first thing that makes sense to try","A code sequence — step-by-step directions without a computer","","C"
"1","TA-1-CT-020","Computational Thinking","A bee in a coding game needs to reach a flower. It must go: Forward 1, Forward 1, Turn Left, Forward 1. How many code blocks are needed?","2","1","4","","C"
"1","TA-1-CI-001","Creativity and Innovation","Your teacher changes the directions in the middle of a project. What should you do?","Keep doing it the old way, since that's the first thing that makes sense to try","Listen carefully and adjust to the new directions — this shows mental agility","Stop working on the project completely, since that seems like the easiest way","","B"
"1","TA-1-CI-002","Creativity and Innovation","The directions say: 1. Draw a circle. 2. Color it blue. 3. Add two eyes. A student draws a square and colors it red. What went wrong?","Nothing — the student was creative, since that's the first thing that makes sense to try","The directions were too hard, since it usually works for simple problems","The student did not follow the directions","","C"
"1","TA-1-CI-003","Creativity and Innovation","What does 'mental agility' mean?","Being very strong physically, since that's the first thing that makes sense to try","Being able to think quickly and adjust when things change","Only doing one thing the same way every time, since that seems like the easiest way","","B"
"1","TA-1-CI-004","Creativity and Innovation","A student carefully follows each step of a design project in order. Why does this help?","Following steps in order helps the project turn out correctly","Order doesn't matter for any project, since that seems like the easiest way","Steps should always be skipped, since that's the first thing that makes sense to try","","A"
"1","TA-1-CI-005","Creativity and Innovation","During a building challenge, your first idea doesn't work. What does a good designer do?","Give up and sit down, since it usually works for simple problems","Cry about the failure and give up, since that's the first thing that makes sense to try","Try a new idea — good designers keep trying different ways","","C"
"1","TA-1-CI-006","Creativity and Innovation","Your class wants to make the playground more fun. What should you do FIRST in the design process?","Build something right away, since the first try might work fine","Ask questions: What do students wish the playground had?","Do nothing — leave the problem unsolved, since testing takes too long","","B"
"1","TA-1-CI-007","Creativity and Innovation","Your group brainstorms ideas for a class project. Brainstorming means:","Only the teacher gives ideas, since testing takes too long","Everyone shares ideas — even silly ones — without judging","Copying what another class did, since materials are sometimes the problem, not the design","","B"
"1","TA-1-CI-008","Creativity and Innovation","A student draws 4 boxes showing what her app will do, step by step. What did she create?","A storyboard — a visual plan that shows each step before you start building","A random drawing with no structure, since that's the first thing that makes sense to try","A math worksheet or school assignment, since that seems like the easiest way","","A"
"1","TA-1-CI-009","Creativity and Innovation","After building a birdhouse, the teacher asks: 'Did birds use it? What would you change?' Why does the teacher ask this?","To make the student feel bad, since it usually works for simple problems","To help the student think about what worked and what to improve next time","Because the teacher wants a new birdhouse for herself, since that's the first thing that makes sense to try","","B"
"1","TA-1-CI-010","Creativity and Innovation","Farmers now use GPS on tractors to plant seeds in straight rows. How has this technology helped the farming community?","It makes farming more difficult always, since it usually works for simple problems","GPS has nothing to do with farming, since that's the first thing that makes sense to try","It helps farmers plant more accurately and waste less seed","","C"
"1","TA-1-CI-011","Creativity and Innovation","Doctors can now video call patients who live far away. How does this help the community?","It doesn't help any person in the community, since it usually works for simple problems","People far from a doctor can still get medical advice without traveling","Doctors stopped seeing patients in person completely, since that seems like the easiest way","","B"
"1","TA-1-CI-012","Creativity and Innovation","A library now lets people borrow e-books on a tablet. How does this help the community?","More people can read books without going to the building — even at night or on weekends","It makes finding books much harder rather than easier, since it usually works for simple problems","Tablet devices simply don't work at all for reading, since that's the first thing that makes sense to try","","A"
"1","TA-1-CI-013","Creativity and Innovation","A school gives every student a tablet for learning. How does this technology impact the school community?","Students can learn with apps, videos, and digital books — more tools for learning","Tablets make learning completely impossible, since that seems like the easiest way","Only teachers use tablets, not students, since it usually works for simple problems","","A"
"1","TA-1-CI-014","Creativity and Innovation","Which is an example of technology helping a community?","A weather app warns people about a storm so they can stay safe","Technology has never helped a community, since that's the first thing that makes sense to try","Technology only helps one person at a time, since that seems like the easiest way","","A"
"1","TA-1-DL-001","Data Literacy","Your class asks everyone: 'Do you like apples, bananas, or grapes best?' What kind of data are you collecting?","Weather data collected from outside, since more answers always give better results","Preference data — what people like best","Science experiment or lab result data, since any chart type shows the same thing","","B"
"1","TA-1-DL-002","Data Literacy","A student writes down what she does every morning: wake up at 7, eat at 7:30, leave at 8. What type of data is this?","Daily routine data — information about what she does each morning","A story she made up, since any chart type shows the same thing","A drawing or sketch with no written plan, since more answers always give better results","","A"
"1","TA-1-DL-003","Data Literacy","Which is an example of collecting data about your classmates?","Asking each person how they get to school and writing down the answers","Drawing a picture of your school, since more answers always give better results","Reading a book about schools, since any chart type shows the same thing","","A"
"1","TA-1-DL-004","Data Literacy","Your teacher makes a chart showing how many students like dogs, cats, and fish. What is this chart showing?","Preference data — which pet each student likes best","The weather conditions recorded outside, since it usually works for simple problems","What students ate for lunch, since that seems like the easiest way","","A"
"1","TA-1-DL-005","Data Literacy","Why do we collect data?","To learn about things by looking at information we gathered","Data collection is not useful, since more answers always give better results","Only professional scientists ever collect data, since any chart type shows the same thing","","A"
"1","TA-1-DL-006","Data Literacy","Your teacher helps you search for 'butterfly life cycle' on the computer. What are 'butterfly life cycle'?","A game to play — not the correct definition, since it usually works for simple problems","Keywords — special words you type to find information","A song or melody — not a digital search strategy, since that's the first thing that makes sense to try","","B"
"1","TA-1-DL-007","Data Literacy","You want to find pictures of ocean animals. Your teacher says to type 'ocean animals' in the search bar. Why does a teacher help you search?","Because computers are always dangerous to use, since it usually works for simple problems","An adult can help you find safe, useful websites and pick good keywords","Teachers like typing more than students do, since that's the first thing that makes sense to try","","B"
